,Date,Startup Name,Industry Vertical,SubVertical,City,Investors Name,Investment Type,amount
0,03-04-2015,Swiggy,Online Food Delivery,,Bangalore,"Accel Partners, SAIF Partners",Private Equity,17.2
1,04-04-2015,Bluegape,Web Content Publishing,,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,1.72
2,06-04-2015,InstaLively,Video Streaming,,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,1.032
4,07-04-2015,PressPlay,Travel Entertainment,,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,18.92
5,07-04-2015,Pricejugaad,Price Comparison,,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,1.419
6,07-04-2015,Quikr,Online Classifieds,,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,1290.0
7,08-04-2015,FirstCry.com,eCommerce,,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\\xc2\\xa0 SAIF Partners, Vertex Ventures",Private Equity,86.0
8,08-04-2015,MobiKwik,Digital / Mobile Wallet,,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,215.0
9,08-04-2015,Ola,Cab Aggregator,,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,3440.0
10,09-04-2015,Bonhomia,Premium Beverages,,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,17.2
11,09-04-2015,Changer Mints,Digital / Mobile Wallet,,Kolkata,Hyderabad based investor,Seed Funding,1.419
12,09-04-2015,Gadgetwood,Device Repair Svcs,,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,1.72
14,09-04-2015,Urban Ladder,Online Furnishing\\neCommerce,,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,430.0
16,10-04-2015,Whatfix,Interactive\\xc2\\xa0 How-To Guides,,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,7.74
17,11-04-2015,Zomato,Restaurant Reviews,,Gurgaon,Info Edge (India),Private Equity,215.0
18,13-04-2015,Capricoast,Online Kitchen Furniture,,Bangalore,Accel Partners India,Seed Funding,10.75
19,13-04-2015,Commeasure,Online Hotel Booking,,Noida,Jungle Ventures,Seed Funding,8.6
20,13-04-2015,Nayi Disha,Ed-Tech,,New Delhi,"Ajay Relan,",Seed Funding,2.58
21,13-04-2015,ZopNow,Online Grocer,,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,86.0
22,14-04-2015,LocalOye,Hyper-local Online Services,,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,43.0
